train_test: ('prediction', 'train')
sensor_174_std: (0.0, 80.504)
sensor_175_avg: (0.0, 66.502)
sensor_175_max: (0.0, 67.0)
sensor_175_min: (0.0, 66.1)
sensor_175_std: (0.0, 21.914)
sensor_176_avg: (-1.38, 69.203)
sensor_176_max: (-1.2, 69.5)
sensor_176_min: (-1.6, 69.0)
sensor_176_std: (0.0, 14.84)
sensor_177_avg: (-0.1058, 850.0)
sensor_177_max: (0.0, 850.0)
sensor_177_min: (-14.1, 850.0)
sensor_177_std: (0.0, 410.62)
sensor_178_avg: (0.0, 1141.1)
sensor_178_max: (0.0, 3265.0)
sensor_178_min: (-1957.8, 401.8)
sensor_178_std: (0.0, 706.64)
sensor_179_avg: (-5.479, 507.25)
sensor_179_max: (0.0, 2271.2)
sensor_179_min: (-2268.1, 466.2)
sensor_179_std: (0.0, 625.64)
sensor_180_avg: (0.0, 3005.5)
sensor_180_max: (0.0, 3276.7)
sensor_180_min: (0.0, 3005.5)
sensor_180_std: (0.0, 1495.6)
sensor_181_avg: (0.0, 2093.1)
sensor_181_max: (0.0, 3275.5)
sensor_181_min: (0.0, 2093.1)
sensor_181_std: (0.0, 1035.7)
sensor_182_avg: (0.0, 3005.7)
sensor_182_max: (0.0, 3276.5)
sensor_182_min: (0.0, 3005.7)
sensor_182_std: (0.0, 1502.9)
sensor_183_avg: (0.0, 139.67)
sensor_183_max: (0.0, 850.0)
sensor_183_min: (0.0, 139.0)
sensor_183_std: (0.0, 171.82)
sensor_184_avg: (0.0, 850.0)
sensor_184_max: (0.0, 850.0)
sensor_184_min: (0.0, 850.0)
sensor_184_std: (0.0, 412.27)
sensor_185_avg: (0.0, 755.65)
sensor_185_max: (0.0, 850.0)
sensor_185_min: (0.0, 129.4)
sensor_185_std: (0.0, 388.35)
sensor_186_avg: (-1291.7, 850.0)
sensor_186_max: (-882.5, 850.0)
sensor_186_min: (-2282.5, 850.0)
sensor_186_std: (0.0, 594.28)
sensor_187_avg: (-2106.0, 109.19)
sensor_187_max: (-2097.9, 203.2)
sensor_187_min: (-2524.1, 107.1)
sensor_187_std: (0.0, 794.03)
sensor_188_avg: (0.0, 45.8)
sensor_188_max: (0.0, 45.8)
sensor_188_min: (0.0, 45.8)
sensor_188_std: (0.0, 3.375)
sensor_189_avg: (-3276.7, 53.732)
sensor_189_max: (-3276.7, 54.2)
sensor_189_min: (-3276.7, 53.6)
sensor_189_std: (0.0, 1616.9)
sensor_190_avg: (0.0, 53.51)
sensor_190_max: (0.0, 54.2)
sensor_190_min: (0.0, 53.5)
sensor_190_std: (0.0, 13.798)
sensor_191_avg: (0.0, 70.092)
sensor_191_max: (0.0, 70.2)
sensor_191_min: (0.0, 69.9)
sensor_191_std: (0.0, 3.73)
sensor_192_avg: (0.0, 69.836)
sensor_192_max: (0.0, 70.0)
sensor_192_min: (0.0, 69.6)
sensor_192_std: (0.0, 3.703)
sensor_193_avg: (-44.1, 37.964)
sensor_193_max: (-44.1, 38.0)
sensor_193_min: (-44.1, 37.9)
sensor_193_std: (0.0, 33.337)
sensor_194_avg: (0.0, 850.0)
sensor_194_max: (0.0, 850.8)
sensor_194_min: (-3276.7, 850.0)
sensor_194_std: (0.0, 1598.9)
sensor_195_avg: (0.0, 850.0)
sensor_195_max: (0.0, 851.5)
sensor_195_min: (0.0, 850.0)
sensor_195_std: (0.0, 425.03)
sensor_196_avg: (0.0, 56.6)
sensor_196_max: (0.0, 56.6)
sensor_196_min: (0.0, 56.6)
sensor_196_std: (0.0, 18.345)
sensor_197_avg: (0.0, 56.2)
sensor_197_max: (0.0, 56.2)
sensor_197_min: (0.0, 56.2)
sensor_197_std: (0.0, 17.854)
sensor_198_avg: (0.0, 54.8)
sensor_198_max: (0.0, 54.8)
sensor_198_min: (0.0, 54.8)
sensor_198_std: (0.0, 17.862)
sensor_199_avg: (0.0, 850.0)
sensor_199_max: (0.0, 850.0)
sensor_199_min: (0.0, 850.0)
sensor_199_std: (0.0, 396.99)
sensor_200_avg: (0.0, 850.0)
sensor_200_max: (0.0, 850.5)
sensor_200_min: (0.0, 850.0)
sensor_200_std: (0.0, 401.52)
sensor_201_avg: (0.0, 850.0)
sensor_201_max: (0.0, 850.0)
sensor_201_min: (0.0, 850.0)
sensor_201_std: (0.0, 371.79)
sensor_202_avg: (0.0, 850.0)
sensor_202_max: (0.0, 850.0)
sensor_202_min: (0.0, 850.0)
sensor_202_std: (0.0, 381.07)
sensor_203_avg: (0.0, 850.0)
sensor_203_max: (0.0, 850.2)
sensor_203_min: (0.0, 850.0)
sensor_203_std: (0.0, 388.29)
sensor_204_avg: (0.0, 850.0)
sensor_204_max: (0.0, 850.0)
sensor_204_min: (0.0, 850.0)
sensor_204_std: (0.0, 393.49)
sensor_205_avg: (0.0, 850.0)
sensor_205_max: (0.0, 850.0)
sensor_205_min: (0.0, 850.0)
sensor_205_std: (0.0, 142.15)
sensor_206_avg: (0.0, 41.024)
sensor_206_max: (0.0, 41.1)
sensor_206_min: (0.0, 41.0)
sensor_206_std: (0.0, 3.327)
sensor_207_avg: (0.0, 41.024)
sensor_207_max: (0.0, 41.1)
sensor_207_min: (0.0, 41.0)
sensor_207_std: (0.0, 3.327)
sensor_208_avg: (0.0, 65.963)
sensor_208_max: (0.0, 66.5)
sensor_208_min: (0.0, 65.6)
sensor_208_std: (0.0, 21.515)
sensor_209_avg: (0.0, 66.881)
sensor_209_max: (0.0, 67.3)
sensor_209_min: (0.0, 66.5)
sensor_209_std: (0.0, 20.857)
sensor_210_avg: (0.0, 39.857)
sensor_210_max: (0.0, 40.0)
sensor_210_min: (0.0, 39.8)
sensor_210_std: (0.0, 7.29)
sensor_211_avg: (0.0, 100.0)
sensor_211_max: (0.0, 100.0)
sensor_211_min: (0.0, 100.0)
sensor_211_std: (0.0, 48.139)
sensor_212_avg: (0.0, 26.4)
sensor_212_max: (0.0, 26.4)
sensor_212_min: (0.0, 26.4)
sensor_212_std: (0.0, 12.826)
sensor_213_avg: (0.0, 26.477)
sensor_213_max: (0.0, 26.5)
sensor_213_min: (0.0, 26.4)
sensor_213_std: (0.0, 12.87)
sensor_214_avg: (0.0, 212.28)
sensor_214_max: (0.0, 298.9)
sensor_214_min: (0.0, 210.2)
sensor_214_std: (0.0, 102.35)
sensor_215_avg: (0.0, 213.55)
sensor_215_max: (0.0, 230.6)
sensor_215_min: (0.0, 212.4)
sensor_215_std: (0.0, 105.31)
sensor_216_avg: (0.0, 212.0)
sensor_216_max: (0.0, 231.1)
sensor_216_min: (0.0, 210.6)
sensor_216_std: (0.0, 102.3)
sensor_217_avg: (0.0, 28.3)
sensor_217_max: (0.0, 28.3)
sensor_217_min: (0.0, 28.2)
sensor_217_std: (0.0, 13.3)
sensor_218_avg: (0.0, 27.2)
sensor_218_max: (0.0, 27.3)
sensor_218_min: (0.0, 27.2)
sensor_218_std: (0.0, 12.522)
sensor_219_avg: (0.0, 422.27)
sensor_219_max: (0.0, 1024.1)
sensor_219_min: (0.0, 418.5)
sensor_219_std: (0.0, 204.21)
sensor_220_avg: (0.0, 415.95)
sensor_220_max: (0.0, 1024.4)
sensor_220_min: (0.0, 415.0)
sensor_220_std: (0.0, 206.53)
sensor_221_avg: (0.0, 422.45)
sensor_221_max: (0.0, 472.2)
sensor_221_min: (0.0, 419.6)
sensor_221_std: (0.0, 203.9)
sensor_222_avg: (0.0, 209.99)
sensor_222_max: (0.0, 819.1)
sensor_222_min: (0.0, 208.2)
sensor_222_std: (0.0, 102.75)
sensor_223_avg: (0.0, 210.51)
sensor_223_max: (0.0, 819.1)
sensor_223_min: (0.0, 210.3)
sensor_223_std: (0.0, 102.05)
sensor_224_avg: (0.0, 210.45)
sensor_224_max: (0.0, 316.4)
sensor_224_min: (0.0, 209.0)
sensor_224_std: (0.0, 102.2)
sensor_225_avg: (-0.4399, 2.5)
sensor_225_max: (-0.4399, 2.5)
sensor_225_min: (-0.4399, 2.5)
sensor_225_std: (0.0, 1.199)
sensor_226_avg: (-2.5, 10.0)
sensor_226_max: (-2.5, 10.0)
sensor_226_min: (-2.5, 10.0)
sensor_226_std: (0.0, 3.744)
sensor_227_avg: (-2.5, 10.0)
sensor_227_max: (-2.5, 10.0)
sensor_227_min: (-2.5, 10.0)
sensor_227_std: (0.0, 6.223)
sensor_228_avg: (0.0, 55.073)
sensor_228_max: (0.0, 55.7)
sensor_228_min: (0.0, 53.7)
sensor_228_std: (0.0, 11.738)
sensor_229_avg: (0.0, 54.999)
sensor_229_max: (0.0, 55.6)
sensor_229_min: (0.0, 53.6)
sensor_229_std: (0.0, 11.69)
sensor_230_avg: (0.0, 605.0)
sensor_230_max: (0.0, 605.0)
sensor_230_min: (0.0, 605.0)
sensor_230_std: (0.0, 302.52)
sensor_231_avg: (-2.49, 5.06)
sensor_231_max: (-2.49, 5.07)
sensor_231_min: (-2.49, 5.06)
sensor_231_std: (0.0, 2.152)
sensor_232_avg: (-2.49, 5.068)
sensor_232_max: (-2.49, 5.07)
sensor_232_min: (-2.49, 5.06)
sensor_232_std: (0.0, 2.157)
sensor_233_avg: (0.0, 57.477)
sensor_233_max: (0.0, 61.7)
sensor_233_min: (0.0, 57.4)
sensor_233_std: (0.0, 12.415)
sensor_234_avg: (0.0, 57.553)
sensor_234_max: (0.0, 61.8)
sensor_234_min: (0.0, 57.5)
sensor_234_std: (0.0, 12.801)
wind_speed_236_avg: (-14.9, 33.736)
wind_speed_236_max: (0.0, 42.65)
wind_speed_236_min: (-14.9, 26.65)
wind_speed_236_std: (0.0, 12.04)
wind_speed_235_avg: (-14.9, 33.773)
wind_speed_235_max: (-14.9, 59.3)
wind_speed_235_min: (-14.9, 26.8)
wind_speed_235_std: (0.0, 16.567)
wind_speed_237_avg: (-14.9, 60.0)
wind_speed_237_max: (-14.9, 60.0)
wind_speed_237_min: (-14.9, 60.0)
wind_speed_237_std: (0.0, 37.216)
label: (0, 1)
